N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
114,메리츠증권,"3,815",5,+0.13%,"1,000","25,788","675,962",13.29,"2,601,582",4.77,15.06,
115,BGF리테일,"147,500","7,000",+4.98%,"1,000","25,494","17,284",30.99,"115,231",19.48,26.46,
116,신세계,"254,000","1,000",-0.39%,"5,000","25,007","9,845",25.29,"153,743",-8.16,14.24,
117,하이트진로,"35,600",400,+1.14%,"5,000","24,968","70,134",8.93,"755,465",33.65,-3.86,
118,한샘,"105,000","2,500",+2.44%,"1,000","24,711","23,534",23.18,"56,732",36.87,7.32,
119,제일기획,"21,350",750,+3.64%,200,"24,561","115,041",32.78,"1,011,373",18.09,15.09,
120,대우건설,"5,730",40,-0.69%,"5,000","23,815","415,623",8.10,"4,148,232",12.38,8.80,
121,LS,"72,800",800,+1.11%,"5,000","23,442","32,200",12.32,"239,775","-1,011.11",0.80,
122,한화,"30,550","1,100",+3.74%,"5,000","22,900","74,959",19.93,"712,231",12.45,2.09,
123,현대로템,"20,800",300,-1.42%,"5,000","22,702","109,142",4.78,"1,812,925",-11.81,-37.93,
124,종근당,"205,000","2,000",+0.99%,"2,500","22,316","10,886",13.86,"86,924",24.32,11.94,
125,현대위아,"81,800",0,0.00%,"5,000","22,246","27,195",11.40,"301,543",17.68,1.80,
126,오뚜기,"578,000","6,000",+1.05%,"5,000","21,224","3,672",16.32,"6,387",19.53,7.79,
127,한솔케미칼,"187,000","2,000",-1.06%,"5,000","21,122","11,295",39.09,"58,634",17.99,20.88,
128,한화시스템,"19,050","1,200",+6.72%,"5,000","20,999","110,230",2.86,"4,406,567",26.98,8.15,
129,현대미포조선,"52,400",400,+0.77%,"5,000","20,930","39,942",13.21,"425,998",45.09,2.31,
130,LS ELECTRIC,"69,300","1,000",+1.46%,"5,000","20,790","30,000",14.00,"248,658",26.71,7.82,
131,녹십자홀딩스,"43,850",400,-0.90%,500,"20,622","47,028",6.98,"512,227",41.45,0.37,
132,현대해상,"22,600",250,+1.12%,500,"20,204","89,400",37.64,"484,745",5.55,6.23,
133,BNK금융지주,"6,010",70,+1.18%,"5,000","19,589","325,935",37.97,"2,924,555",4.08,7.07,
134,대웅제약,"168,000","6,000",-3.45%,"2,500","19,465","11,587",5.07,"171,576","-1,174.83",4.34,
135,TIGER MSCI Korea TR,"17,895",170,+0.96%,0,"19,166","107,100",12.43,"312,190",N/A,N/A,
136,현대백화점,"80,900",500,+0.62%,"5,000","18,933","23,402",14.40,"223,602",16.57,4.64,
137,포스코인터내셔널,"15,200",100,+0.66%,"5,000","18,753","123,375",11.44,"617,228",8.38,7.06,
138,한올바이오파마,"35,850",700,-1.92%,500,"18,728","52,241",7.66,"444,332",95.09,14.90,
139,HDC현대산업개발,"28,250",150,+0.53%,"5,000","18,619","65,907",10.41,"836,764",7.01,20.30,
140,두산인프라코어,"8,510",410,+5.06%,"5,000","18,374","215,913",5.72,"7,329,279",10.98,11.59,
141,KODEX 단기채권,"102,655",5,0.00%,0,"18,358","17,883",3.36,"5,106",N/A,N/A,
